Last Update,Latitude,Longitude,Confirmed,Deaths,Recovered,Mortality Rate,Dif Confirmed,Dif Confirmed%,Dif Deaths,Dif Deaths%,Dif Recovered,Dif Recovered%,Factor Confirmed
2020-02-24,33.0,65.0,2.0,0.0,0.0,0.0,,,,,,,
2020-03-08,33.0,65.0,4.0,0.0,0.0,0.0,2.0,1.0,0.0,,0.0,,2.0
2020-03-10,33.0,65.0,5.0,0.0,0.0,0.0,1.0,0.25,0.0,,0.0,,1.25
2020-03-11,33.0,65.0,7.0,0.0,0.0,0.0,2.0,0.3999999999999999,0.0,,0.0,,1.4
2020-03-14,33.9391,67.71,11.0,0.0,0.0,0.0,4.0,0.5714285714285714,0.0,,0.0,,1.5714285714285714
2020-03-15,33.9391,67.71,16.0,0.0,0.0,0.0,5.0,0.4545454545454546,0.0,,0.0,,1.4545454545454546
2020-03-16,33.9391,67.71,21.0,0.0,1.0,0.0,5.0,0.3125,0.0,,1.0,inf,1.3125
2020-03-17,33.9391,67.71,22.0,0.0,1.0,0.0,1.0,0.04761904761904767,0.0,,0.0,0.0,1.0476190476190477
2020-03-20,33.9391,67.71,24.0,0.0,1.0,0.0,2.0,0.09090909090909083,0.0,,0.0,0.0,1.0909090909090908
2020-03-22,33.9391,67.71,40.0,1.0,1.0,0.025,16.0,0.6666666666666667,1.0,inf,0.0,0.0,1.6666666666666667
