Last Update,Latitude,Longitude,Confirmed,Deaths,Recovered,Mortality Rate,Dif Confirmed,Dif Confirmed%,Dif Deaths,Dif Deaths%,Dif Recovered,Dif Recovered%,Factor Confirmed
2020-02-25,28.0339,1.6596,2.0,0.0,0.0,0.0,,,,,,,
2020-03-02,28.0339,1.6596,3.0,0.0,0.0,0.0,1.0,0.5,0.0,,0.0,,1.5
2020-03-03,28.0339,1.6596,5.0,0.0,0.0,0.0,2.0,0.6666666666666667,0.0,,0.0,,1.6666666666666667
2020-03-04,28.0339,1.6596,12.0,0.0,0.0,0.0,7.0,1.4,0.0,,0.0,,2.4
2020-03-06,28.0339,1.6596,17.0,0.0,0.0,0.0,5.0,0.41666666666666674,0.0,,0.0,,1.4166666666666667
2020-03-08,28.0339,1.6596,19.0,0.0,0.0,0.0,2.0,0.11764705882352944,0.0,,0.0,,1.1176470588235294
2020-03-09,28.0339,1.6596,20.0,0.0,0.0,0.0,1.0,0.05263157894736836,0.0,,0.0,,1.0526315789473684
2020-03-11,28.0339,1.6596,26.0,2.0,8.0,0.07692307692307693,6.0,0.30000000000000004,2.0,inf,8.0,inf,1.3
2020-03-12,28.0339,1.6596,24.0,1.0,8.0,0.041666666666666664,-2.0,-0.07692307692307687,-1.0,-0.5,0.0,0.0,0.9230769230769231
2020-03-14,28.0339,1.6596,37.0,3.0,12.0,0.08108108108108109,13.0,0.5416666666666667,2.0,2.0,4.0,0.5,1.5416666666666667
2020-03-15,28.0339,1.6596,48.0,4.0,12.0,0.08333333333333333,11.0,0.29729729729729737,1.0,0.33333333333333326,0.0,0.0,1.2972972972972974
2020-03-16,28.0339,1.6596,54.0,4.0,12.0,0.07407407407407407,6.0,0.125,0.0,0.0,0.0,0.0,1.125
2020-03-17,28.0339,1.6596,60.0,4.0,12.0,0.06666666666666667,6.0,0.11111111111111116,0.0,0.0,0.0,0.0,1.1111111111111112
2020-03-18,28.0339,1.6596,74.0,7.0,12.0,0.0945945945945946,14.0,0.2333333333333334,3.0,0.75,0.0,0.0,1.2333333333333334
2020-03-19,28.0339,1.6596,87.0,9.0,32.0,0.10344827586206896,13.0,0.17567567567567566,2.0,0.2857142857142858,20.0,1.6666666666666665,1.1756756756756757
2020-03-20,28.0339,1.6596,90.0,11.0,32.0,0.12222222222222222,3.0,0.034482758620689724,2.0,0.22222222222222232,0.0,0.0,1.0344827586206897
2020-03-21,28.0339,1.6596,139.0,15.0,32.0,0.1079136690647482,49.0,0.5444444444444445,4.0,0.36363636363636354,0.0,0.0,1.5444444444444445
2020-03-22,28.0339,1.6596,201.0,17.0,65.0,0.0845771144278607,62.0,0.4460431654676258,2.0,0.1333333333333333,33.0,1.03125,1.4460431654676258
