Last Update,Latitude,Longitude,Confirmed,Deaths,Recovered,Mortality Rate,Dif Confirmed,Dif Confirmed%,Dif Deaths,Dif Deaths%,Dif Recovered,Dif Recovered%,Factor Confirmed
2020-03-02,42.5063,1.5218,1.0,0.0,0.0,0.0,,,,,,,
2020-03-11,42.5063,1.5218,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0
2020-03-12,42.5063,1.5218,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,inf,1.0
2020-03-13,42.5063,1.5218,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0
2020-03-16,42.5063,1.5218,2.0,0.0,1.0,0.0,1.0,1.0,0.0,,0.0,0.0,2.0
2020-03-17,42.5063,1.5218,39.0,0.0,1.0,0.0,37.0,18.5,0.0,,0.0,0.0,19.5
2020-03-19,42.5063,1.5218,53.0,0.0,1.0,0.0,14.0,0.35897435897435903,0.0,,0.0,0.0,1.358974358974359
2020-03-20,42.5063,1.5218,75.0,0.0,1.0,0.0,22.0,0.4150943396226414,0.0,,0.0,0.0,1.4150943396226414
2020-03-21,42.5063,1.5218,88.0,0.0,1.0,0.0,13.0,0.17333333333333334,0.0,,0.0,0.0,1.1733333333333333
2020-03-22,42.5063,1.5218,113.0,1.0,1.0,0.008849557522123894,25.0,0.28409090909090917,1.0,inf,0.0,0.0,1.2840909090909092
