Last Update,Latitude,Longitude,Confirmed,Deaths,Recovered,Mortality Rate,Dif Confirmed,Dif Confirmed%,Dif Deaths,Dif Deaths%,Dif Recovered,Dif Recovered%,Factor Confirmed
2020-03-03,-38.4161,-63.6167,1.0,0.0,0.0,0.0,,,,,,,
2020-03-04,-38.4161,-63.6167,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0
2020-03-06,-38.4161,-63.6167,2.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,,2.0
2020-03-07,-38.4161,-63.6167,8.0,0.0,0.0,0.0,6.0,3.0,0.0,,0.0,,4.0
2020-03-08,-38.4161,-63.6167,12.0,1.0,0.0,0.08333333333333333,4.0,0.5,1.0,inf,0.0,,1.5
2020-03-10,-38.4161,-63.6167,17.0,1.0,0.0,0.058823529411764705,5.0,0.41666666666666674,0.0,0.0,0.0,,1.4166666666666667
2020-03-11,-76.8322,-127.2334,50.0,3.0,0.0,0.06,33.0,1.9411764705882355,2.0,2.0,0.0,,2.9411764705882355
2020-03-14,-38.4161,-63.6167,34.0,2.0,1.0,0.058823529411764705,-16.0,-0.31999999999999995,-1.0,-0.33333333333333337,1.0,inf,0.68
2020-03-15,-38.4161,-63.6167,45.0,2.0,1.0,0.044444444444444446,11.0,0.32352941176470584,0.0,0.0,0.0,0.0,1.3235294117647058
2020-03-16,-38.4161,-63.6167,56.0,2.0,1.0,0.03571428571428571,11.0,0.24444444444444446,0.0,0.0,0.0,0.0,1.2444444444444445
2020-03-17,-38.4161,-63.6167,68.0,2.0,3.0,0.029411764705882353,12.0,0.2142857142857142,0.0,0.0,2.0,2.0,1.2142857142857142
2020-03-18,-38.4161,-63.6167,79.0,2.0,3.0,0.02531645569620253,11.0,0.16176470588235303,0.0,0.0,0.0,0.0,1.161764705882353
2020-03-19,-38.4161,-63.6167,97.0,3.0,3.0,0.030927835051546393,18.0,0.2278481012658229,1.0,0.5,0.0,0.0,1.2278481012658229
2020-03-20,-38.4161,-63.6167,128.0,3.0,3.0,0.0234375,31.0,0.31958762886597936,0.0,0.0,0.0,0.0,1.3195876288659794
2020-03-21,-38.4161,-63.6167,158.0,4.0,3.0,0.02531645569620253,30.0,0.234375,1.0,0.33333333333333326,0.0,0.0,1.234375
2020-03-22,-38.4161,-63.6167,225.0,4.0,3.0,0.017777777777777778,67.0,0.42405063291139244,0.0,0.0,0.0,0.0,1.4240506329113924
