Last Update,Latitude,Longitude,Confirmed,Deaths,Recovered,Mortality Rate,Dif Confirmed,Dif Confirmed%,Dif Deaths,Dif Deaths%,Dif Recovered,Dif Recovered%,Factor Confirmed
2020-01-30,0.0,0.0,4.0,0.0,2.0,0.0,,,,,,,
2020-01-31,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0
2020-02-01,0.0,0.0,12.0,0.0,2.0,0.0,8.0,2.0,0.0,,0.0,0.0,3.0
2020-02-02,0.0,0.0,4.0,0.0,0.0,0.0,-8.0,-0.6666666666666667,0.0,,-2.0,-1.0,0.3333333333333333
2020-02-04,0.0,0.0,3.0,0.0,0.0,0.0,-1.0,-0.25,0.0,,0.0,,0.75
2020-02-06,0.0,0.0,8.0,0.0,2.0,0.0,5.0,1.6666666666666665,0.0,,2.0,inf,2.6666666666666665
2020-02-07,0.0,0.0,5.0,0.0,0.0,0.0,-3.0,-0.375,0.0,,-2.0,-1.0,0.625
2020-02-09,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0
2020-02-13,0.0,0.0,8.0,0.0,8.0,0.0,3.0,0.6000000000000001,0.0,,8.0,inf,1.6
2020-02-17,0.0,0.0,2.0,0.0,2.0,0.0,-6.0,-0.75,0.0,,-6.0,-0.75,0.25
2020-02-21,0.0,0.0,9.0,0.0,1.0,0.0,7.0,3.5,0.0,,-1.0,-0.5,4.5
2020-02-22,0.0,0.0,7.0,0.0,0.0,0.0,-2.0,-0.2222222222222222,0.0,,-1.0,-1.0,0.7777777777777778
2020-02-27,0.0,0.0,8.0,0.0,0.0,0.0,1.0,0.1428571428571428,0.0,,0.0,,1.1428571428571428
2020-02-29,-65.3151,576.6018,40.0,0.0,14.0,0.0,32.0,4.0,0.0,,14.0,inf,5.0
2020-03-01,-65.8193,267.0698,8.0,1.0,4.0,0.125,-32.0,-0.8,1.0,inf,-10.0,-0.7142857142857143,0.2
2020-03-02,-79.2681,290.9338,10.0,0.0,4.0,0.0,2.0,0.25,-1.0,-1.0,0.0,0.0,1.25
2020-03-03,-61.8855,304.6093,24.0,0.0,5.0,0.0,14.0,1.4,0.0,,1.0,0.25,2.4
2020-03-04,-119.0743,565.6187,38.0,1.0,10.0,0.02631578947368421,14.0,0.5833333333333333,1.0,inf,5.0,1.0,1.5833333333333333
2020-03-05,-97.7808,414.22360000000003,26.0,1.0,15.0,0.038461538461538464,-12.0,-0.3157894736842105,0.0,0.0,5.0,0.5,0.6842105263157895
2020-03-06,-81.26070000000001,420.6556,33.0,1.0,6.0,0.030303030303030304,7.0,0.26923076923076916,0.0,0.0,-9.0,-0.6,1.2692307692307692
2020-03-07,-71.6824,296.17240000000004,39.0,1.0,11.0,0.02564102564102564,6.0,0.18181818181818188,0.0,0.0,5.0,0.8333333333333333,1.1818181818181819
2020-03-08,-103.34,450.58000000000004,55.0,3.0,12.0,0.05454545454545454,16.0,0.41025641025641035,2.0,2.0,1.0,0.09090909090909083,1.4102564102564104
2020-03-09,-103.6329,412.03290000000004,67.0,4.0,11.0,0.05970149253731343,12.0,0.21818181818181825,1.0,0.33333333333333326,-1.0,-0.08333333333333337,1.2181818181818183
2020-03-10,-144.113,696.2785,98.0,3.0,19.0,0.030612244897959183,31.0,0.4626865671641791,-1.0,-0.25,8.0,0.7272727272727273,1.462686567164179
2020-03-11,-428.5584,2119.5045999999998,327.0,6.0,44.0,0.01834862385321101,229.0,2.336734693877551,3.0,1.0,25.0,1.3157894736842106,3.336734693877551
2020-03-14,-220.5258,1269.5002999999997,250.0,3.0,23.0,0.012,-77.0,-0.23547400611620795,-3.0,-0.5,-21.0,-0.4772727272727273,0.764525993883792
2020-03-15,-176.0821,734.1437999999999,278.0,2.0,23.0,0.007194244604316547,28.0,0.1120000000000001,-1.0,-0.33333333333333337,0.0,0.0,1.112
2020-03-16,-243.5061,999.0166999999999,376.0,3.0,23.0,0.007978723404255319,98.0,0.3525179856115108,1.0,0.5,0.0,0.0,1.3525179856115108
2020-03-17,-131.6496,565.4329,413.0,5.0,20.0,0.012106537530266344,37.0,0.09840425531914887,2.0,0.6666666666666667,-3.0,-0.13043478260869568,1.0984042553191489
2020-03-18,-243.5061,999.0166999999999,567.0,6.0,23.0,0.010582010582010581,154.0,0.3728813559322033,1.0,0.19999999999999996,3.0,0.1499999999999999,1.3728813559322033
2020-03-19,-205.6925,854.0536,559.0,6.0,18.0,0.01073345259391771,-8.0,-0.014109347442680775,0.0,0.0,-5.0,-0.21739130434782605,0.9858906525573192
2020-03-20,-176.7014,838.9285000000001,660.0,7.0,15.0,0.010606060606060607,101.0,0.18067978533094808,1.0,0.16666666666666674,-3.0,-0.16666666666666663,1.180679785330948
2020-03-21,-243.5061,999.0166999999999,1068.0,7.0,26.0,0.006554307116104869,408.0,0.6181818181818182,0.0,0.0,11.0,0.7333333333333334,1.6181818181818182
2020-03-22,-215.4894,845.6167,1090.0,7.0,80.0,0.006422018348623854,22.0,0.020599250936329527,0.0,0.0,54.0,2.076923076923077,1.0205992509363295
