Last Update,Latitude,Longitude,Confirmed,Deaths,Recovered,Mortality Rate,Dif Confirmed,Dif Confirmed%,Dif Deaths,Dif Deaths%,Dif Recovered,Dif Recovered%,Factor Confirmed
2020-03-01,40.1431,47.5769,3.0,0.0,0.0,0.0,,,,,,,
2020-03-05,40.1431,47.5769,6.0,0.0,0.0,0.0,3.0,1.0,0.0,,0.0,,2.0
2020-03-07,40.1431,47.5769,9.0,0.0,0.0,0.0,3.0,0.5,0.0,,0.0,,1.5
2020-03-10,40.1431,47.5769,11.0,0.0,0.0,0.0,2.0,0.22222222222222232,0.0,,0.0,,1.2222222222222223
2020-03-11,80.2862,95.1538,26.0,1.0,6.0,0.038461538461538464,15.0,1.3636363636363638,1.0,inf,6.0,inf,2.3636363636363638
2020-03-13,80.2862,95.1538,38.0,2.0,9.0,0.05263157894736842,12.0,0.46153846153846145,1.0,1.0,3.0,0.5,1.4615384615384615
2020-03-16,40.1431,47.5769,15.0,1.0,6.0,0.06666666666666667,-23.0,-0.6052631578947368,-1.0,-0.5,-3.0,-0.33333333333333337,0.39473684210526316
2020-03-17,40.1431,47.5769,28.0,1.0,6.0,0.03571428571428571,13.0,0.8666666666666667,0.0,0.0,0.0,0.0,1.8666666666666667
2020-03-19,40.1431,47.5769,44.0,1.0,6.0,0.022727272727272728,16.0,0.5714285714285714,0.0,0.0,0.0,0.0,1.5714285714285714
2020-03-21,40.1431,47.5769,53.0,1.0,11.0,0.018867924528301886,9.0,0.20454545454545459,0.0,0.0,5.0,0.8333333333333333,1.2045454545454546
2020-03-22,40.1431,47.5769,65.0,1.0,10.0,0.015384615384615385,12.0,0.2264150943396226,0.0,0.0,-1.0,-0.09090909090909094,1.2264150943396226
