Last Update,Latitude,Longitude,Confirmed,Deaths,Recovered,Mortality Rate,Dif Confirmed,Dif Confirmed%,Dif Deaths,Dif Deaths%,Dif Recovered,Dif Recovered%,Factor Confirmed
2020-03-08,23.685,90.3563,3.0,0.0,0.0,0.0,,,,,,,
2020-03-10,23.685,90.3563,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0
2020-03-11,23.685,90.3563,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0
2020-03-13,23.685,90.3563,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0
2020-03-15,23.685,90.3563,5.0,0.0,0.0,0.0,2.0,0.6666666666666667,0.0,,0.0,,1.6666666666666667
2020-03-16,23.685,90.3563,8.0,0.0,2.0,0.0,3.0,0.6000000000000001,0.0,,2.0,inf,1.6
2020-03-17,23.685,90.3563,10.0,0.0,3.0,0.0,2.0,0.25,0.0,,1.0,0.5,1.25
2020-03-18,23.685,90.3563,14.0,1.0,3.0,0.07142857142857142,4.0,0.3999999999999999,1.0,inf,0.0,0.0,1.4
2020-03-19,23.685,90.3563,17.0,1.0,3.0,0.058823529411764705,3.0,0.2142857142857142,0.0,0.0,0.0,0.0,1.2142857142857142
2020-03-20,23.685,90.3563,20.0,1.0,3.0,0.05,3.0,0.17647058823529416,0.0,0.0,0.0,0.0,1.1764705882352942
2020-03-21,23.685,90.3563,25.0,2.0,3.0,0.08,5.0,0.25,1.0,1.0,0.0,0.0,1.25
2020-03-22,23.685,90.3563,27.0,2.0,3.0,0.07407407407407407,2.0,0.08000000000000007,0.0,0.0,0.0,0.0,1.08
