Last Update,Latitude,Longitude,Confirmed,Deaths,Recovered,Mortality Rate,Dif Confirmed,Dif Confirmed%,Dif Deaths,Dif Deaths%,Dif Recovered,Dif Recovered%,Factor Confirmed
2020-02-28,53.7098,27.9534,2.0,0.0,0.0,0.0,,,,,,,
2020-03-04,53.7098,27.9534,6.0,0.0,0.0,0.0,4.0,2.0,0.0,,0.0,,3.0
2020-03-09,53.7098,27.9534,6.0,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,inf,1.0
2020-03-10,53.7098,27.9534,9.0,0.0,3.0,0.0,3.0,0.5,0.0,,2.0,2.0,1.5
2020-03-11,53.7098,27.9534,27.0,0.0,3.0,0.0,18.0,2.0,0.0,,0.0,0.0,3.0
2020-03-12,53.7098,27.9534,12.0,0.0,3.0,0.0,-15.0,-0.5555555555555556,0.0,,0.0,0.0,0.4444444444444444
2020-03-13,53.7098,27.9534,27.0,0.0,3.0,0.0,15.0,1.25,0.0,,0.0,0.0,2.25
2020-03-16,53.7098,27.9534,36.0,0.0,3.0,0.0,9.0,0.33333333333333326,0.0,,0.0,0.0,1.3333333333333333
2020-03-18,53.7098,27.9534,51.0,0.0,5.0,0.0,15.0,0.41666666666666674,0.0,,2.0,0.6666666666666667,1.4166666666666667
2020-03-20,53.7098,27.9534,69.0,0.0,5.0,0.0,18.0,0.3529411764705883,0.0,,0.0,0.0,1.3529411764705883
2020-03-21,53.7098,27.9534,76.0,0.0,15.0,0.0,7.0,0.10144927536231885,0.0,,10.0,2.0,1.1014492753623188
