Last Update,Latitude,Longitude,Confirmed,Deaths,Recovered,Mortality Rate,Dif Confirmed,Dif Confirmed%,Dif Deaths,Dif Deaths%,Dif Recovered,Dif Recovered%,Factor Confirmed
2020-03-05,43.9159,17.6791,2.0,0.0,0.0,0.0,,,,,,,
2020-03-07,43.9159,17.6791,3.0,0.0,0.0,0.0,1.0,0.5,0.0,,0.0,,1.5
2020-03-10,43.9159,17.6791,5.0,0.0,0.0,0.0,2.0,0.6666666666666667,0.0,,0.0,,1.6666666666666667
2020-03-11,87.8318,35.3582,20.0,0.0,0.0,0.0,15.0,3.0,0.0,,0.0,,4.0
2020-03-12,43.9159,17.6791,11.0,0.0,0.0,0.0,-9.0,-0.44999999999999996,0.0,,0.0,,0.55
2020-03-14,43.9159,17.6791,18.0,0.0,0.0,0.0,7.0,0.6363636363636365,0.0,,0.0,,1.6363636363636365
2020-03-15,43.9159,17.6791,24.0,0.0,0.0,0.0,6.0,0.33333333333333326,0.0,,0.0,,1.3333333333333333
2020-03-16,43.9159,17.6791,25.0,0.0,0.0,0.0,1.0,0.04166666666666674,0.0,,0.0,,1.0416666666666667
2020-03-17,43.9159,17.6791,26.0,0.0,2.0,0.0,1.0,0.040000000000000036,0.0,,2.0,inf,1.04
2020-03-18,43.9159,17.6791,38.0,0.0,2.0,0.0,12.0,0.46153846153846145,0.0,,0.0,0.0,1.4615384615384615
2020-03-19,43.9159,17.6791,63.0,0.0,2.0,0.0,25.0,0.6578947368421053,0.0,,0.0,0.0,1.6578947368421053
2020-03-20,43.9159,17.6791,89.0,0.0,2.0,0.0,26.0,0.4126984126984128,0.0,,0.0,0.0,1.4126984126984128
2020-03-21,43.9159,17.6791,93.0,1.0,2.0,0.010752688172043012,4.0,0.04494382022471921,1.0,inf,0.0,0.0,1.0449438202247192
2020-03-22,43.9159,17.6791,126.0,1.0,2.0,0.007936507936507936,33.0,0.35483870967741926,0.0,0.0,0.0,0.0,1.3548387096774193
