Last Update,Latitude,Longitude,Confirmed,Deaths,Recovered,Mortality Rate,Dif Confirmed,Dif Confirmed%,Dif Deaths,Dif Deaths%,Dif Recovered,Dif Recovered%,Factor Confirmed
2020-02-26,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,
2020-02-29,-14.235,-51.9253,4.0,0.0,0.0,0.0,3.0,3.0,0.0,,0.0,,4.0
2020-03-04,-14.235,-51.9253,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0
2020-03-06,-14.235,-51.9253,13.0,0.0,0.0,0.0,9.0,2.25,0.0,,0.0,,3.25
2020-03-08,-14.235,-51.9253,20.0,0.0,0.0,0.0,7.0,0.5384615384615385,0.0,,0.0,,1.5384615384615385
2020-03-09,-14.235,-51.9253,25.0,0.0,0.0,0.0,5.0,0.25,0.0,,0.0,,1.25
2020-03-10,-14.235,-51.9253,31.0,0.0,0.0,0.0,6.0,0.24,0.0,,0.0,,1.24
2020-03-11,-28.47,-103.8506,189.0,0.0,0.0,0.0,158.0,5.096774193548387,0.0,,0.0,,6.096774193548387
2020-03-12,-14.235,-51.9253,52.0,0.0,0.0,0.0,-137.0,-0.7248677248677249,0.0,,0.0,,0.2751322751322751
2020-03-13,-14.235,-51.9253,151.0,0.0,0.0,0.0,99.0,1.9038461538461537,0.0,,0.0,,2.9038461538461537
2020-03-15,-14.235,-51.9253,162.0,0.0,0.0,0.0,11.0,0.07284768211920523,0.0,,0.0,,1.0728476821192052
2020-03-16,-14.235,-51.9253,200.0,0.0,1.0,0.0,38.0,0.23456790123456783,0.0,,1.0,inf,1.2345679012345678
2020-03-17,-14.235,-51.9253,321.0,1.0,2.0,0.003115264797507788,121.0,0.605,1.0,inf,1.0,1.0,1.605
2020-03-18,-14.235,-51.9253,372.0,3.0,2.0,0.008064516129032258,51.0,0.1588785046728971,2.0,2.0,0.0,0.0,1.158878504672897
2020-03-19,-14.235,-51.9253,621.0,6.0,2.0,0.00966183574879227,249.0,0.6693548387096775,3.0,1.0,0.0,0.0,1.6693548387096775
2020-03-20,-14.235,-51.9253,793.0,11.0,2.0,0.013871374527112233,172.0,0.27697262479871165,5.0,0.8333333333333333,0.0,0.0,1.2769726247987117
2020-03-21,-14.235,-51.9253,1021.0,15.0,2.0,0.014691478942213516,228.0,0.2875157629255989,4.0,0.36363636363636354,0.0,0.0,1.2875157629255989
2020-03-22,-14.235,-51.9253,1593.0,25.0,2.0,0.015693659761456372,572.0,0.5602350636630755,10.0,0.6666666666666667,0.0,0.0,1.5602350636630755
