Last Update,Latitude,Longitude,Confirmed,Deaths,Recovered,Mortality Rate,Dif Confirmed,Dif Confirmed%,Dif Deaths,Dif Deaths%,Dif Recovered,Dif Recovered%,Factor Confirmed
2020-03-09,4.5353,114.7277,1.0,0.0,0.0,0.0,,,,,,,
2020-03-10,4.5353,114.7277,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0
2020-03-11,9.0706,229.4554,48.0,0.0,0.0,0.0,47.0,47.0,0.0,,0.0,,48.0
2020-03-14,4.5353,114.7277,40.0,0.0,0.0,0.0,-8.0,-0.16666666666666663,0.0,,0.0,,0.8333333333333334
2020-03-15,4.5353,114.7277,50.0,0.0,0.0,0.0,10.0,0.25,0.0,,0.0,,1.25
2020-03-16,4.5353,114.7277,54.0,0.0,0.0,0.0,4.0,0.08000000000000007,0.0,,0.0,,1.08
2020-03-17,4.5353,114.7277,56.0,0.0,0.0,0.0,2.0,0.03703703703703698,0.0,,0.0,,1.037037037037037
2020-03-18,4.5353,114.7277,68.0,0.0,0.0,0.0,12.0,0.2142857142857142,0.0,,0.0,,1.2142857142857142
2020-03-19,4.5353,114.7277,75.0,0.0,0.0,0.0,7.0,0.10294117647058831,0.0,,0.0,,1.1029411764705883
2020-03-20,4.5353,114.7277,78.0,0.0,1.0,0.0,3.0,0.040000000000000036,0.0,,1.0,inf,1.04
2020-03-21,4.5353,114.7277,83.0,0.0,2.0,0.0,5.0,0.0641025641025641,0.0,,1.0,1.0,1.064102564102564
2020-03-22,4.5353,114.7277,88.0,0.0,2.0,0.0,5.0,0.06024096385542177,0.0,,0.0,0.0,1.0602409638554218
