Last Update,Latitude,Longitude,Confirmed,Deaths,Recovered,Mortality Rate,Dif Confirmed,Dif Confirmed%,Dif Deaths,Dif Deaths%,Dif Recovered,Dif Recovered%,Factor Confirmed
2020-03-06,3.848,11.5021,1.0,0.0,0.0,0.0,,,,,,,
2020-03-08,3.848,11.5021,2.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,,2.0
2020-03-11,3.8480000000000003,11.5021,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0
2020-03-13,7.696,23.0042,4.0,0.0,0.0,0.0,2.0,1.0,0.0,,0.0,,2.0
2020-03-16,3.848,11.5021,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0
2020-03-17,3.848,11.5021,10.0,0.0,0.0,0.0,6.0,1.5,0.0,,0.0,,2.5
2020-03-19,3.848,11.5021,13.0,0.0,0.0,0.0,3.0,0.30000000000000004,0.0,,0.0,,1.3
2020-03-20,3.848,11.5021,20.0,0.0,0.0,0.0,7.0,0.5384615384615385,0.0,,0.0,,1.5384615384615385
2020-03-21,3.848,11.5021,27.0,0.0,0.0,0.0,7.0,0.3500000000000001,0.0,,0.0,,1.35
2020-03-22,3.848,11.5021,40.0,0.0,0.0,0.0,13.0,0.4814814814814814,0.0,,0.0,,1.4814814814814814
