Last Update,Latitude,Longitude,Confirmed,Deaths,Recovered,Mortality Rate,Dif Confirmed,Dif Confirmed%,Dif Deaths,Dif Deaths%,Dif Recovered,Dif Recovered%,Factor Confirmed
2020-03-06,4.5709,-74.2973,1.0,0.0,0.0,0.0,,,,,,,
2020-03-07,4.5709,-74.2973,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0
2020-03-10,4.5709,-74.2973,3.0,0.0,0.0,0.0,2.0,2.0,0.0,,0.0,,3.0
2020-03-11,9.1418,-148.5946,22.0,0.0,0.0,0.0,19.0,6.333333333333333,0.0,,0.0,,7.333333333333333
2020-03-14,4.5709,-74.2973,22.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0
2020-03-15,4.5709,-74.2973,34.0,0.0,0.0,0.0,12.0,0.5454545454545454,0.0,,0.0,,1.5454545454545454
2020-03-16,4.5709,-74.2973,54.0,0.0,0.0,0.0,20.0,0.588235294117647,0.0,,0.0,,1.588235294117647
2020-03-17,4.5709,-74.2973,65.0,0.0,1.0,0.0,11.0,0.20370370370370372,0.0,,1.0,inf,1.2037037037037037
2020-03-18,4.5709,-74.2973,93.0,0.0,1.0,0.0,28.0,0.4307692307692308,0.0,,0.0,0.0,1.4307692307692308
2020-03-19,4.5709,-74.2973,102.0,0.0,1.0,0.0,9.0,0.09677419354838701,0.0,,0.0,0.0,1.096774193548387
2020-03-20,4.5709,-74.2973,128.0,0.0,1.0,0.0,26.0,0.2549019607843137,0.0,,0.0,0.0,1.2549019607843137
2020-03-21,4.5709,-74.2973,196.0,0.0,1.0,0.0,68.0,0.53125,0.0,,0.0,0.0,1.53125
2020-03-22,4.5709,-74.2973,231.0,2.0,3.0,0.008658008658008658,35.0,0.1785714285714286,2.0,inf,2.0,2.0,1.1785714285714286
