Last Update,Latitude,Longitude,Confirmed,Deaths,Recovered,Mortality Rate,Dif Confirmed,Dif Confirmed%,Dif Deaths,Dif Deaths%,Dif Recovered,Dif Recovered%,Factor Confirmed
2020-02-14,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,
2020-02-21,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0
2020-02-28,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,inf,1.0
2020-03-01,26.0,30.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,,0.0,0.0,2.0
2020-03-05,26.0,30.0,3.0,0.0,1.0,0.0,1.0,0.5,0.0,,0.0,0.0,1.5
2020-03-06,26.0,30.0,15.0,0.0,1.0,0.0,12.0,4.0,0.0,,0.0,0.0,5.0
2020-03-08,26.0,30.0,49.0,1.0,1.0,0.02040816326530612,34.0,2.2666666666666666,1.0,inf,0.0,0.0,3.2666666666666666
2020-03-09,26.0,30.0,55.0,1.0,12.0,0.01818181818181818,6.0,0.12244897959183665,0.0,0.0,11.0,11.0,1.1224489795918366
2020-03-10,26.0,30.0,59.0,1.0,1.0,0.01694915254237288,4.0,0.07272727272727275,0.0,0.0,-11.0,-0.9166666666666666,1.0727272727272728
2020-03-11,52.8206,60.802499999999995,140.0,3.0,54.0,0.02142857142857143,81.0,1.3728813559322033,2.0,2.0,53.0,53.0,2.3728813559322033
2020-03-12,26.0,30.0,67.0,1.0,27.0,0.014925373134328358,-73.0,-0.5214285714285714,-2.0,-0.6666666666666667,-27.0,-0.5,0.4785714285714286
2020-03-14,26.8206,30.8025,109.0,2.0,27.0,0.01834862385321101,42.0,0.6268656716417911,1.0,1.0,0.0,0.0,1.626865671641791
2020-03-15,26.8206,30.8025,110.0,2.0,21.0,0.01818181818181818,1.0,0.00917431192660545,0.0,0.0,-6.0,-0.2222222222222222,1.0091743119266054
2020-03-16,26.8206,30.8025,150.0,2.0,27.0,0.013333333333333334,40.0,0.36363636363636354,0.0,0.0,6.0,0.2857142857142858,1.3636363636363635
2020-03-17,26.8206,30.8025,196.0,4.0,32.0,0.02040816326530612,46.0,0.30666666666666664,2.0,1.0,5.0,0.18518518518518512,1.3066666666666666
2020-03-18,26.8206,30.8025,196.0,6.0,32.0,0.030612244897959183,0.0,0.0,2.0,0.5,0.0,0.0,1.0
2020-03-19,26.8206,30.8025,256.0,6.0,32.0,0.0234375,60.0,0.30612244897959173,0.0,0.0,0.0,0.0,1.3061224489795917
2020-03-20,26.8206,30.8025,285.0,8.0,39.0,0.028070175438596492,29.0,0.11328125,2.0,0.33333333333333326,7.0,0.21875,1.11328125
2020-03-21,26.8206,30.8025,294.0,10.0,41.0,0.034013605442176874,9.0,0.03157894736842115,2.0,0.25,2.0,0.05128205128205132,1.0315789473684212
2020-03-22,26.8206,30.8025,327.0,14.0,56.0,0.04281345565749235,33.0,0.11224489795918369,4.0,0.3999999999999999,15.0,0.36585365853658547,1.1122448979591837
