Last Update,Latitude,Longitude,Confirmed,Deaths,Recovered,Mortality Rate,Dif Confirmed,Dif Confirmed%,Dif Deaths,Dif Deaths%,Dif Recovered,Dif Recovered%,Factor Confirmed
2020-02-26,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,
2020-02-27,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0
2020-03-01,42.3154,43.3569,3.0,0.0,0.0,0.0,2.0,2.0,0.0,,0.0,,3.0
2020-03-05,42.3154,43.3569,4.0,0.0,0.0,0.0,1.0,0.33333333333333326,0.0,,0.0,,1.3333333333333333
2020-03-08,42.3154,43.3569,13.0,0.0,0.0,0.0,9.0,2.25,0.0,,0.0,,3.25
2020-03-09,42.3154,43.3569,15.0,0.0,0.0,0.0,2.0,0.15384615384615374,0.0,,0.0,,1.1538461538461537
2020-03-11,84.6308,86.7138,49.0,0.0,0.0,0.0,34.0,2.2666666666666666,0.0,,0.0,,3.2666666666666666
2020-03-14,84.6308,86.7138,63.0,0.0,0.0,0.0,14.0,0.2857142857142858,0.0,,0.0,,1.2857142857142858
2020-03-16,42.3154,43.3569,33.0,0.0,1.0,0.0,-30.0,-0.47619047619047616,0.0,,1.0,inf,0.5238095238095238
2020-03-17,42.3154,43.3569,34.0,0.0,1.0,0.0,1.0,0.030303030303030276,0.0,,0.0,0.0,1.0303030303030303
2020-03-18,42.3154,43.3569,38.0,0.0,1.0,0.0,4.0,0.11764705882352944,0.0,,0.0,0.0,1.1176470588235294
2020-03-19,42.3154,43.3569,40.0,0.0,1.0,0.0,2.0,0.05263157894736836,0.0,,0.0,0.0,1.0526315789473684
2020-03-20,42.3154,43.3569,43.0,0.0,1.0,0.0,3.0,0.07499999999999996,0.0,,0.0,0.0,1.075
2020-03-21,42.3154,43.3569,49.0,0.0,1.0,0.0,6.0,0.13953488372093026,0.0,,0.0,0.0,1.1395348837209303
2020-03-22,42.3154,43.3569,54.0,0.0,3.0,0.0,5.0,0.1020408163265305,0.0,,2.0,2.0,1.1020408163265305
