Last Update,Latitude,Longitude,Confirmed,Deaths,Recovered,Mortality Rate,Dif Confirmed,Dif Confirmed%,Dif Deaths,Dif Deaths%,Dif Recovered,Dif Recovered%,Factor Confirmed
2020-02-28,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,
2020-02-29,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0
2020-03-01,64.9631,-19.0208,3.0,0.0,0.0,0.0,2.0,2.0,0.0,,0.0,,3.0
2020-03-02,64.9631,-19.0208,6.0,0.0,0.0,0.0,3.0,1.0,0.0,,0.0,,2.0
2020-03-03,64.9631,-19.0208,11.0,0.0,0.0,0.0,5.0,0.8333333333333333,0.0,,0.0,,1.8333333333333333
2020-03-04,64.9631,-19.0208,26.0,0.0,0.0,0.0,15.0,1.3636363636363638,0.0,,0.0,,2.3636363636363638
2020-03-05,64.9631,-19.0208,34.0,0.0,0.0,0.0,8.0,0.3076923076923077,0.0,,0.0,,1.3076923076923077
2020-03-06,64.9631,-19.0208,43.0,0.0,0.0,0.0,9.0,0.2647058823529411,0.0,,0.0,,1.2647058823529411
2020-03-07,64.9631,-19.0208,50.0,0.0,0.0,0.0,7.0,0.16279069767441867,0.0,,0.0,,1.1627906976744187
2020-03-09,64.9631,-19.0208,58.0,0.0,0.0,0.0,8.0,0.15999999999999992,0.0,,0.0,,1.16
2020-03-10,64.9631,-19.0208,69.0,0.0,1.0,0.0,11.0,0.18965517241379315,0.0,,1.0,inf,1.1896551724137931
2020-03-11,129.9262,-38.0416,219.0,0.0,2.0,0.0,150.0,2.1739130434782608,0.0,,1.0,1.0,3.1739130434782608
2020-03-12,64.9631,-19.0208,103.0,0.0,1.0,0.0,-116.0,-0.5296803652968036,0.0,,-1.0,-0.5,0.4703196347031963
2020-03-14,64.9631,-19.0208,156.0,0.0,1.0,0.0,53.0,0.5145631067961165,0.0,,0.0,0.0,1.5145631067961165
2020-03-15,64.9631,-19.0208,171.0,5.0,8.0,0.029239766081871343,15.0,0.09615384615384626,5.0,inf,7.0,7.0,1.0961538461538463
2020-03-16,64.9631,-19.0208,180.0,0.0,0.0,0.0,9.0,0.05263157894736836,-5.0,-1.0,-8.0,-1.0,1.0526315789473684
2020-03-17,64.9631,-19.0208,220.0,1.0,0.0,0.004545454545454545,40.0,0.22222222222222232,1.0,inf,0.0,,1.2222222222222223
2020-03-18,64.9631,-19.0208,250.0,1.0,5.0,0.004,30.0,0.13636363636363646,0.0,0.0,5.0,inf,1.1363636363636365
2020-03-19,64.9631,-19.0208,330.0,1.0,5.0,0.0030303030303030303,80.0,0.32000000000000006,0.0,0.0,0.0,0.0,1.32
2020-03-20,64.9631,-19.0208,409.0,0.0,5.0,0.0,79.0,0.2393939393939395,-1.0,-1.0,0.0,0.0,1.2393939393939395
2020-03-21,64.9631,-19.0208,473.0,1.0,22.0,0.0021141649048625794,64.0,0.15647921760391204,1.0,inf,17.0,3.4000000000000004,1.156479217603912
2020-03-22,64.9631,-19.0208,568.0,1.0,36.0,0.0017605633802816902,95.0,0.20084566596194509,0.0,0.0,14.0,0.6363636363636365,1.200845665961945
