Last Update,Latitude,Longitude,Confirmed,Deaths,Recovered,Mortality Rate,Dif Confirmed,Dif Confirmed%,Dif Deaths,Dif Deaths%,Dif Recovered,Dif Recovered%,Factor Confirmed
2020-01-31,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,
2020-02-02,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,,2.0
2020-02-03,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.5,0.0,,0.0,,1.5
2020-02-13,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0
2020-02-16,21.0,78.0,6.0,0.0,6.0,0.0,3.0,1.0,0.0,,6.0,inf,2.0
2020-03-02,21.0,78.0,5.0,0.0,3.0,0.0,-1.0,-0.16666666666666663,0.0,,-3.0,-0.5,0.8333333333333334
2020-03-04,21.0,78.0,28.0,0.0,3.0,0.0,23.0,4.6,0.0,,0.0,0.0,5.6
2020-03-05,21.0,78.0,30.0,0.0,3.0,0.0,2.0,0.0714285714285714,0.0,,0.0,0.0,1.0714285714285714
2020-03-06,21.0,78.0,31.0,0.0,3.0,0.0,1.0,0.03333333333333344,0.0,,0.0,0.0,1.0333333333333334
2020-03-07,21.0,78.0,34.0,0.0,3.0,0.0,3.0,0.09677419354838701,0.0,,0.0,0.0,1.096774193548387
2020-03-08,21.0,78.0,39.0,0.0,3.0,0.0,5.0,0.1470588235294117,0.0,,0.0,0.0,1.1470588235294117
2020-03-09,21.0,78.0,43.0,0.0,3.0,0.0,4.0,0.10256410256410264,0.0,,0.0,0.0,1.1025641025641026
2020-03-10,21.0,78.0,56.0,0.0,4.0,0.0,13.0,0.30232558139534893,0.0,,1.0,0.33333333333333326,1.302325581395349
2020-03-11,41.5937,156.9629,144.0,3.0,8.0,0.020833333333333332,88.0,1.5714285714285716,3.0,inf,4.0,1.0,2.5714285714285716
2020-03-12,21.0,78.0,73.0,1.0,4.0,0.0136986301369863,-71.0,-0.4930555555555556,-2.0,-0.6666666666666667,-4.0,-0.5,0.5069444444444444
2020-03-14,20.5937,78.9629,102.0,2.0,4.0,0.0196078431372549,29.0,0.3972602739726028,1.0,1.0,0.0,0.0,1.3972602739726028
2020-03-15,20.5937,78.9629,113.0,2.0,13.0,0.017699115044247787,11.0,0.10784313725490202,0.0,0.0,9.0,2.25,1.107843137254902
2020-03-16,20.5937,78.9629,119.0,2.0,13.0,0.01680672268907563,6.0,0.053097345132743445,0.0,0.0,0.0,0.0,1.0530973451327434
2020-03-17,20.5937,78.9629,142.0,3.0,14.0,0.02112676056338028,23.0,0.19327731092436973,1.0,0.5,1.0,0.07692307692307687,1.1932773109243697
2020-03-18,20.5937,78.9629,156.0,3.0,14.0,0.019230769230769232,14.0,0.09859154929577474,0.0,0.0,0.0,0.0,1.0985915492957747
2020-03-19,20.5937,78.9629,194.0,4.0,15.0,0.020618556701030927,38.0,0.2435897435897436,1.0,0.33333333333333326,1.0,0.0714285714285714,1.2435897435897436
2020-03-20,20.5937,78.9629,244.0,5.0,20.0,0.020491803278688523,50.0,0.25773195876288657,1.0,0.25,5.0,0.33333333333333326,1.2577319587628866
2020-03-21,20.5937,78.9629,330.0,4.0,23.0,0.012121212121212121,86.0,0.3524590163934427,-1.0,-0.19999999999999996,3.0,0.1499999999999999,1.3524590163934427
2020-03-22,20.5937,78.9629,396.0,7.0,27.0,0.017676767676767676,66.0,0.19999999999999996,3.0,0.75,4.0,0.17391304347826098,1.2
