Last Update,Latitude,Longitude,Confirmed,Deaths,Recovered,Mortality Rate,Dif Confirmed,Dif Confirmed%,Dif Deaths,Dif Deaths%,Dif Recovered,Dif Recovered%,Factor Confirmed
2020-03-02,-0.7893,113.9213,2.0,0.0,0.0,0.0,,,,,,,
2020-03-06,-0.7893,113.9213,4.0,0.0,0.0,0.0,2.0,1.0,0.0,,0.0,,2.0
2020-03-08,-0.7893,113.9213,6.0,0.0,0.0,0.0,2.0,0.5,0.0,,0.0,,1.5
2020-03-09,-0.7893,113.9213,19.0,0.0,0.0,0.0,13.0,2.1666666666666665,0.0,,0.0,,3.1666666666666665
2020-03-10,-0.7893,113.9213,27.0,0.0,2.0,0.0,8.0,0.42105263157894735,0.0,,2.0,inf,1.4210526315789473
2020-03-11,-1.5786,227.8426,103.0,5.0,4.0,0.04854368932038835,76.0,2.814814814814815,5.0,inf,2.0,1.0,3.814814814814815
2020-03-14,-0.7893,113.9213,96.0,5.0,8.0,0.052083333333333336,-7.0,-0.06796116504854366,0.0,0.0,4.0,1.0,0.9320388349514563
2020-03-15,-0.7893,113.9213,117.0,5.0,8.0,0.042735042735042736,21.0,0.21875,0.0,0.0,0.0,0.0,1.21875
2020-03-16,-0.7893,113.9213,134.0,5.0,8.0,0.03731343283582089,17.0,0.14529914529914523,0.0,0.0,0.0,0.0,1.1452991452991452
2020-03-17,-0.7893,113.9213,172.0,5.0,8.0,0.029069767441860465,38.0,0.28358208955223874,0.0,0.0,0.0,0.0,1.2835820895522387
2020-03-18,-0.7893,113.9213,227.0,19.0,11.0,0.08370044052863436,55.0,0.319767441860465,14.0,2.8,3.0,0.375,1.319767441860465
2020-03-19,-0.7893,113.9213,311.0,25.0,11.0,0.08038585209003216,84.0,0.3700440528634361,6.0,0.3157894736842106,0.0,0.0,1.3700440528634361
2020-03-20,-0.7893,113.9213,369.0,32.0,15.0,0.08672086720867209,58.0,0.1864951768488745,7.0,0.28,4.0,0.36363636363636354,1.1864951768488745
2020-03-21,-0.7893,113.9213,450.0,38.0,15.0,0.08444444444444445,81.0,0.2195121951219512,6.0,0.1875,0.0,0.0,1.2195121951219512
2020-03-22,-0.7893,113.9213,514.0,48.0,29.0,0.0933852140077821,64.0,0.14222222222222225,10.0,0.26315789473684204,14.0,0.9333333333333333,1.1422222222222222
