Last Update,Latitude,Longitude,Confirmed,Deaths,Recovered,Mortality Rate,Dif Confirmed,Dif Confirmed%,Dif Deaths,Dif Deaths%,Dif Recovered,Dif Recovered%,Factor Confirmed
2020-02-21,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,
2020-02-22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0
2020-02-26,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,,2.0
2020-02-27,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.5,0.0,,1.0,inf,1.5
2020-02-28,0.0,0.0,4.0,0.0,1.0,0.0,1.0,0.33333333333333326,0.0,,0.0,0.0,1.3333333333333333
2020-02-29,0.0,0.0,7.0,0.0,1.0,0.0,3.0,0.75,0.0,,0.0,0.0,1.75
2020-03-01,31.0,35.0,10.0,0.0,1.0,0.0,3.0,0.4285714285714286,0.0,,0.0,0.0,1.4285714285714286
2020-03-03,31.0,35.0,12.0,0.0,1.0,0.0,2.0,0.19999999999999996,0.0,,0.0,0.0,1.2
2020-03-04,31.0,35.0,15.0,0.0,1.0,0.0,3.0,0.25,0.0,,0.0,0.0,1.25
2020-03-05,31.0,35.0,16.0,0.0,1.0,0.0,1.0,0.06666666666666665,0.0,,0.0,0.0,1.0666666666666667
2020-03-06,31.0,35.0,21.0,0.0,2.0,0.0,5.0,0.3125,0.0,,1.0,1.0,1.3125
2020-03-08,31.0,35.0,39.0,0.0,2.0,0.0,18.0,0.8571428571428572,0.0,,0.0,0.0,1.8571428571428572
2020-03-10,31.0,35.0,58.0,0.0,4.0,0.0,19.0,0.4871794871794872,0.0,,2.0,1.0,1.4871794871794872
2020-03-11,62.046099999999996,69.85159999999999,270.0,0.0,8.0,0.0,212.0,3.655172413793103,0.0,,4.0,1.0,4.655172413793103
2020-03-12,31.0,35.0,131.0,0.0,4.0,0.0,-139.0,-0.5148148148148148,0.0,,-4.0,-0.5,0.48518518518518516
2020-03-14,31.0461,34.8516,193.0,0.0,4.0,0.0,62.0,0.4732824427480915,0.0,,0.0,0.0,1.4732824427480915
2020-03-15,31.0461,34.8516,251.0,0.0,4.0,0.0,58.0,0.30051813471502586,0.0,,0.0,0.0,1.3005181347150259
2020-03-16,31.0461,34.8516,255.0,0.0,4.0,0.0,4.0,0.015936254980079667,0.0,,0.0,0.0,1.0159362549800797
2020-03-17,31.0461,34.8516,337.0,0.0,11.0,0.0,82.0,0.32156862745098036,0.0,,7.0,1.75,1.3215686274509804
2020-03-18,31.0461,34.8516,433.0,0.0,11.0,0.0,96.0,0.28486646884273004,0.0,,0.0,0.0,1.28486646884273
2020-03-19,31.0461,34.8516,677.0,0.0,11.0,0.0,244.0,0.5635103926096998,0.0,,0.0,0.0,1.5635103926096998
2020-03-20,31.0461,34.8516,705.0,0.0,14.0,0.0,28.0,0.041358936484490405,0.0,,3.0,0.2727272727272727,1.0413589364844904
2020-03-21,31.0461,34.8516,883.0,1.0,36.0,0.0011325028312570782,178.0,0.252482269503546,1.0,inf,22.0,1.5714285714285716,1.252482269503546
2020-03-22,31.0461,34.8516,1071.0,1.0,37.0,0.0009337068160597573,188.0,0.21291053227633072,0.0,0.0,1.0,0.02777777777777768,1.2129105322763307
