Last Update,Latitude,Longitude,Confirmed,Deaths,Recovered,Mortality Rate,Dif Confirmed,Dif Confirmed%,Dif Deaths,Dif Deaths%,Dif Recovered,Dif Recovered%,Factor Confirmed
2020-03-03,31.24,36.51,1.0,0.0,0.0,0.0,,,,,,,
2020-03-11,31.24,36.51,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,inf,1.0
2020-03-14,30.5852,36.2384,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0
2020-03-15,30.5852,36.2384,8.0,0.0,1.0,0.0,7.0,7.0,0.0,,0.0,0.0,8.0
2020-03-16,30.5852,36.2384,17.0,0.0,1.0,0.0,9.0,1.125,0.0,,0.0,0.0,2.125
2020-03-17,30.5852,36.2384,34.0,0.0,1.0,0.0,17.0,1.0,0.0,,0.0,0.0,2.0
2020-03-18,30.5852,36.2384,52.0,0.0,1.0,0.0,18.0,0.5294117647058822,0.0,,0.0,0.0,1.5294117647058822
2020-03-19,30.5852,36.2384,69.0,0.0,1.0,0.0,17.0,0.32692307692307687,0.0,,0.0,0.0,1.3269230769230769
2020-03-20,30.5852,36.2384,85.0,0.0,1.0,0.0,16.0,0.2318840579710144,0.0,,0.0,0.0,1.2318840579710144
2020-03-22,30.5852,36.2384,112.0,0.0,1.0,0.0,27.0,0.3176470588235294,0.0,,0.0,0.0,1.3176470588235294
