Last Update,Latitude,Longitude,Confirmed,Deaths,Recovered,Mortality Rate,Dif Confirmed,Dif Confirmed%,Dif Deaths,Dif Deaths%,Dif Recovered,Dif Recovered%,Factor Confirmed
2020-03-11,48.0196,66.9237,4.0,0.0,0.0,0.0,,,,,,,
2020-03-14,48.0196,66.9237,6.0,0.0,0.0,0.0,2.0,0.5,0.0,,0.0,,1.5
2020-03-15,48.0196,66.9237,9.0,0.0,0.0,0.0,3.0,0.5,0.0,,0.0,,1.5
2020-03-16,48.0196,66.9237,10.0,0.0,0.0,0.0,1.0,0.11111111111111116,0.0,,0.0,,1.1111111111111112
2020-03-17,48.0196,66.9237,33.0,0.0,0.0,0.0,23.0,2.3,0.0,,0.0,,3.3
2020-03-18,48.0196,66.9237,35.0,0.0,0.0,0.0,2.0,0.06060606060606055,0.0,,0.0,,1.0606060606060606
2020-03-19,48.0196,66.9237,44.0,0.0,0.0,0.0,9.0,0.2571428571428571,0.0,,0.0,,1.2571428571428571
2020-03-20,48.0196,66.9237,49.0,3.0,0.0,0.061224489795918366,5.0,0.11363636363636354,3.0,inf,0.0,,1.1136363636363635
2020-03-21,48.0196,66.9237,53.0,0.0,0.0,0.0,4.0,0.08163265306122458,-3.0,-1.0,0.0,,1.0816326530612246
2020-03-22,48.0196,66.9237,60.0,0.0,0.0,0.0,7.0,0.13207547169811318,0.0,,0.0,,1.1320754716981132
