Last Update,Latitude,Longitude,Confirmed,Deaths,Recovered,Mortality Rate,Dif Confirmed,Dif Confirmed%,Dif Deaths,Dif Deaths%,Dif Recovered,Dif Recovered%,Factor Confirmed
2020-02-28,55.1694,23.8813,2.0,0.0,0.0,0.0,,,,,,,
2020-03-11,110.3388,47.7626,9.0,0.0,0.0,0.0,7.0,3.5,0.0,,0.0,,4.5
2020-03-14,55.1694,23.8813,8.0,0.0,0.0,0.0,-1.0,-0.11111111111111116,0.0,,0.0,,0.8888888888888888
2020-03-15,55.1694,23.8813,12.0,0.0,1.0,0.0,4.0,0.5,0.0,,1.0,inf,1.5
2020-03-16,55.1694,23.8813,17.0,0.0,1.0,0.0,5.0,0.41666666666666674,0.0,,0.0,0.0,1.4166666666666667
2020-03-17,55.1694,23.8813,25.0,0.0,1.0,0.0,8.0,0.47058823529411775,0.0,,0.0,0.0,1.4705882352941178
2020-03-18,55.1694,23.8813,27.0,0.0,1.0,0.0,2.0,0.08000000000000007,0.0,,0.0,0.0,1.08
2020-03-19,55.1694,23.8813,36.0,0.0,1.0,0.0,9.0,0.33333333333333326,0.0,,0.0,0.0,1.3333333333333333
2020-03-20,55.1694,23.8813,49.0,0.0,1.0,0.0,13.0,0.36111111111111116,0.0,,0.0,0.0,1.3611111111111112
2020-03-21,55.1694,23.8813,83.0,1.0,1.0,0.012048192771084338,34.0,0.6938775510204083,1.0,inf,0.0,0.0,1.6938775510204083
2020-03-22,55.1694,23.8813,131.0,1.0,1.0,0.007633587786259542,48.0,0.5783132530120483,0.0,0.0,0.0,0.0,1.5783132530120483
