Last Update,Latitude,Longitude,Confirmed,Deaths,Recovered,Mortality Rate,Dif Confirmed,Dif Confirmed%,Dif Deaths,Dif Deaths%,Dif Recovered,Dif Recovered%,Factor Confirmed
2020-02-29,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,
2020-03-01,49.8153,6.1296,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0
2020-03-03,49.8144,6.1317,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0
2020-03-06,49.8144,6.1317,2.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,,2.0
2020-03-08,49.8144,6.1317,3.0,0.0,0.0,0.0,1.0,0.5,0.0,,0.0,,1.5
2020-03-10,49.8144,6.1317,5.0,0.0,0.0,0.0,2.0,0.6666666666666667,0.0,,0.0,,1.6666666666666667
2020-03-11,99.6297,12.2613,41.0,0.0,0.0,0.0,36.0,7.199999999999999,0.0,,0.0,,8.2
2020-03-12,49.8144,6.1317,19.0,0.0,0.0,0.0,-22.0,-0.5365853658536586,0.0,,0.0,,0.4634146341463415
2020-03-14,49.8153,6.1296,51.0,1.0,0.0,0.0196078431372549,32.0,1.6842105263157894,1.0,inf,0.0,,2.6842105263157894
2020-03-15,49.8153,6.1296,59.0,1.0,0.0,0.01694915254237288,8.0,0.15686274509803932,0.0,0.0,0.0,,1.1568627450980393
2020-03-16,49.8153,6.1296,77.0,1.0,0.0,0.012987012987012988,18.0,0.30508474576271194,0.0,0.0,0.0,,1.305084745762712
2020-03-17,49.8153,6.1296,140.0,1.0,0.0,0.007142857142857143,63.0,0.8181818181818181,0.0,0.0,0.0,,1.8181818181818181
2020-03-18,49.8153,6.1296,203.0,2.0,0.0,0.009852216748768473,63.0,0.44999999999999996,1.0,1.0,0.0,,1.45
2020-03-19,49.8153,6.1296,335.0,4.0,0.0,0.011940298507462687,132.0,0.6502463054187193,2.0,1.0,0.0,,1.6502463054187193
2020-03-20,49.8153,6.1296,484.0,4.0,0.0,0.008264462809917356,149.0,0.4447761194029851,0.0,0.0,0.0,,1.4447761194029851
2020-03-21,49.8153,6.1296,670.0,8.0,0.0,0.011940298507462687,186.0,0.38429752066115697,4.0,1.0,0.0,,1.384297520661157
2020-03-22,49.8153,6.1296,798.0,8.0,6.0,0.010025062656641603,128.0,0.19104477611940296,0.0,0.0,6.0,inf,1.191044776119403
