Last Update,Latitude,Longitude,Confirmed,Deaths,Recovered,Mortality Rate,Dif Confirmed,Dif Confirmed%,Dif Deaths,Dif Deaths%,Dif Recovered,Dif Recovered%,Factor Confirmed
2020-01-31,0.0,0.0,7.0,0.0,0.0,0.0,,,,,,,
2020-02-02,0.0,0.0,8.0,0.0,0.0,0.0,1.0,0.1428571428571428,0.0,,0.0,,1.1428571428571428
2020-02-04,0.0,0.0,10.0,0.0,0.0,0.0,2.0,0.25,0.0,,0.0,,1.25
2020-02-06,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,inf,1.0
2020-02-12,0.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0
2020-02-13,0.0,0.0,10.0,0.0,3.0,0.0,0.0,0.0,0.0,,1.0,0.5,1.0
2020-02-16,0.0,0.0,10.0,0.0,5.0,0.0,0.0,0.0,0.0,,2.0,0.6666666666666667,1.0
2020-02-20,0.0,0.0,10.0,0.0,6.0,0.0,0.0,0.0,0.0,,1.0,0.19999999999999996,1.0
2020-02-25,0.0,0.0,10.0,0.0,7.0,0.0,0.0,0.0,0.0,,1.0,0.16666666666666674,1.0
2020-02-27,22.1667,113.55,20.0,0.0,16.0,0.0,10.0,1.0,0.0,,9.0,1.2857142857142856,2.0
2020-03-03,22.1667,113.55,10.0,0.0,9.0,0.0,-10.0,-0.5,0.0,,-7.0,-0.4375,0.5
2020-03-06,22.1667,113.55,10.0,0.0,10.0,0.0,0.0,0.0,0.0,,1.0,0.11111111111111116,1.0
