Last Update,Latitude,Longitude,Confirmed,Deaths,Recovered,Mortality Rate,Dif Confirmed,Dif Confirmed%,Dif Deaths,Dif Deaths%,Dif Recovered,Dif Recovered%,Factor Confirmed
2020-01-31,0.0,0.0,8.0,0.0,0.0,0.0,,,,,,,
2020-02-04,0.0,0.0,10.0,0.0,0.0,0.0,2.0,0.25,0.0,,0.0,,1.25
2020-02-05,0.0,0.0,12.0,0.0,0.0,0.0,2.0,0.19999999999999996,0.0,,0.0,,1.2
2020-02-07,0.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,inf,1.0
2020-02-08,0.0,0.0,16.0,0.0,1.0,0.0,4.0,0.33333333333333326,0.0,,0.0,0.0,1.3333333333333333
2020-02-10,0.0,0.0,18.0,0.0,1.0,0.0,2.0,0.125,0.0,,0.0,0.0,1.125
2020-02-11,0.0,0.0,18.0,0.0,3.0,0.0,0.0,0.0,0.0,,2.0,2.0,1.0
2020-02-13,0.0,0.0,19.0,0.0,3.0,0.0,1.0,0.05555555555555558,0.0,,0.0,0.0,1.0555555555555556
2020-02-15,0.0,0.0,22.0,0.0,7.0,0.0,3.0,0.1578947368421053,0.0,,4.0,1.3333333333333335,1.1578947368421053
2020-02-18,0.0,0.0,22.0,0.0,13.0,0.0,0.0,0.0,0.0,,6.0,0.8571428571428572,1.0
2020-02-19,0.0,0.0,22.0,0.0,15.0,0.0,0.0,0.0,0.0,,2.0,0.15384615384615374,1.0
2020-02-24,0.0,0.0,22.0,0.0,18.0,0.0,0.0,0.0,0.0,,3.0,0.19999999999999996,1.0
2020-02-27,0.0,0.0,23.0,0.0,18.0,0.0,1.0,0.045454545454545414,0.0,,0.0,0.0,1.0454545454545454
2020-02-29,0.0,0.0,25.0,0.0,18.0,0.0,2.0,0.08695652173913038,0.0,,0.0,0.0,1.0869565217391304
2020-03-01,2.5,112.5,29.0,0.0,18.0,0.0,4.0,0.15999999999999992,0.0,,0.0,0.0,1.16
2020-03-03,2.5,112.5,36.0,0.0,22.0,0.0,7.0,0.24137931034482762,0.0,,4.0,0.22222222222222232,1.2413793103448276
2020-03-04,2.5,112.5,50.0,0.0,22.0,0.0,14.0,0.38888888888888884,0.0,,0.0,0.0,1.3888888888888888
2020-03-06,2.5,112.5,83.0,0.0,22.0,0.0,33.0,0.6599999999999999,0.0,,0.0,0.0,1.66
2020-03-07,2.5,112.5,93.0,0.0,23.0,0.0,10.0,0.12048192771084332,0.0,,1.0,0.045454545454545414,1.1204819277108433
2020-03-08,2.5,112.5,99.0,0.0,24.0,0.0,6.0,0.06451612903225801,0.0,,1.0,0.04347826086956519,1.064516129032258
2020-03-09,2.5,112.5,117.0,0.0,24.0,0.0,18.0,0.18181818181818188,0.0,,0.0,0.0,1.1818181818181819
2020-03-10,2.5,112.5,129.0,0.0,24.0,0.0,12.0,0.10256410256410264,0.0,,0.0,0.0,1.1025641025641026
2020-03-11,6.7105,214.4758,346.0,0.0,52.0,0.0,217.0,1.6821705426356588,0.0,,28.0,1.1666666666666665,2.682170542635659
2020-03-14,4.2105,101.9758,238.0,0.0,35.0,0.0,-108.0,-0.3121387283236994,0.0,,-17.0,-0.32692307692307687,0.6878612716763006
2020-03-15,4.2105,101.9758,428.0,0.0,42.0,0.0,190.0,0.7983193277310925,0.0,,7.0,0.19999999999999996,1.7983193277310925
2020-03-16,4.2105,101.9758,566.0,0.0,42.0,0.0,138.0,0.32242990654205617,0.0,,0.0,0.0,1.3224299065420562
2020-03-17,4.2105,101.9758,673.0,2.0,49.0,0.0029717682020802376,107.0,0.18904593639575973,2.0,inf,7.0,0.16666666666666674,1.1890459363957597
2020-03-18,4.2105,101.9758,790.0,2.0,60.0,0.002531645569620253,117.0,0.17384843982169396,0.0,0.0,11.0,0.22448979591836737,1.173848439821694
2020-03-19,4.2105,101.9758,900.0,2.0,75.0,0.0022222222222222222,110.0,0.139240506329114,0.0,0.0,15.0,0.25,1.139240506329114
2020-03-20,4.2105,101.9758,1030.0,3.0,87.0,0.002912621359223301,130.0,0.14444444444444438,1.0,0.5,12.0,0.15999999999999992,1.1444444444444444
2020-03-21,4.2105,101.9758,1183.0,4.0,114.0,0.0033812341504649195,153.0,0.14854368932038842,1.0,0.33333333333333326,27.0,0.31034482758620685,1.1485436893203884
2020-03-22,4.2105,101.9758,1306.0,10.0,139.0,0.007656967840735069,123.0,0.1039729501267963,6.0,1.5,25.0,0.2192982456140351,1.1039729501267963
