Last Update,Latitude,Longitude,Confirmed,Deaths,Recovered,Mortality Rate,Dif Confirmed,Dif Confirmed%,Dif Deaths,Dif Deaths%,Dif Recovered,Dif Recovered%,Factor Confirmed
2020-03-08,47.4116,28.3699,1.0,0.0,0.0,0.0,,,,,,,
2020-03-09,47.4116,28.3699,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0
2020-03-11,94.8232,56.7398,9.0,0.0,0.0,0.0,8.0,8.0,0.0,,0.0,,9.0
2020-03-14,94.8232,56.7398,35.0,0.0,0.0,0.0,26.0,2.888888888888889,0.0,,0.0,,3.888888888888889
2020-03-16,47.4116,28.3699,23.0,0.0,0.0,0.0,-12.0,-0.34285714285714286,0.0,,0.0,,0.6571428571428571
2020-03-17,47.4116,28.3699,30.0,0.0,1.0,0.0,7.0,0.30434782608695654,0.0,,1.0,inf,1.3043478260869565
2020-03-18,47.4116,28.3699,30.0,1.0,1.0,0.03333333333333333,0.0,0.0,1.0,inf,0.0,0.0,1.0
2020-03-19,47.4116,28.3699,49.0,1.0,1.0,0.02040816326530612,19.0,0.6333333333333333,0.0,0.0,0.0,0.0,1.6333333333333333
2020-03-20,47.4116,28.3699,66.0,1.0,1.0,0.015151515151515152,17.0,0.346938775510204,0.0,0.0,0.0,0.0,1.346938775510204
2020-03-21,47.4116,28.3699,80.0,1.0,1.0,0.0125,14.0,0.21212121212121215,0.0,0.0,0.0,0.0,1.2121212121212122
2020-03-22,47.4116,28.3699,94.0,1.0,1.0,0.010638297872340425,14.0,0.17500000000000004,0.0,0.0,0.0,0.0,1.175
