Last Update,Latitude,Longitude,Confirmed,Deaths,Recovered,Mortality Rate,Dif Confirmed,Dif Confirmed%,Dif Deaths,Dif Deaths%,Dif Recovered,Dif Recovered%,Factor Confirmed
2020-03-06,-9.19,-75.0152,1.0,0.0,0.0,0.0,,,,,,,
2020-03-08,-9.19,-75.0152,6.0,0.0,0.0,0.0,5.0,5.0,0.0,,0.0,,6.0
2020-03-09,-9.19,-75.0152,7.0,0.0,0.0,0.0,1.0,0.16666666666666674,0.0,,0.0,,1.1666666666666667
2020-03-10,-9.19,-75.0152,11.0,0.0,0.0,0.0,4.0,0.5714285714285714,0.0,,0.0,,1.5714285714285714
2020-03-11,-9.19,-75.0152,28.0,0.0,0.0,0.0,17.0,1.5454545454545454,0.0,,0.0,,2.5454545454545454
2020-03-12,-9.19,-75.0152,15.0,0.0,0.0,0.0,-13.0,-0.4642857142857143,0.0,,0.0,,0.5357142857142857
2020-03-14,-9.19,-75.0152,38.0,0.0,0.0,0.0,23.0,1.5333333333333332,0.0,,0.0,,2.533333333333333
2020-03-15,-9.19,-75.0152,43.0,0.0,0.0,0.0,5.0,0.13157894736842102,0.0,,0.0,,1.131578947368421
2020-03-16,-9.19,-75.0152,86.0,0.0,0.0,0.0,43.0,1.0,0.0,,0.0,,2.0
2020-03-17,-9.19,-75.0152,117.0,0.0,1.0,0.0,31.0,0.36046511627906974,0.0,,1.0,inf,1.3604651162790697
2020-03-18,-9.19,-75.0152,145.0,0.0,1.0,0.0,28.0,0.23931623931623935,0.0,,0.0,0.0,1.2393162393162394
2020-03-19,-9.19,-75.0152,234.0,0.0,1.0,0.0,89.0,0.6137931034482758,0.0,,0.0,0.0,1.6137931034482758
2020-03-20,-9.19,-75.0152,234.0,3.0,1.0,0.01282051282051282,0.0,0.0,3.0,inf,0.0,0.0,1.0
2020-03-21,-9.19,-75.0152,318.0,5.0,1.0,0.015723270440251572,84.0,0.35897435897435903,2.0,0.6666666666666667,0.0,0.0,1.358974358974359
2020-03-22,-9.19,-75.0152,363.0,5.0,1.0,0.013774104683195593,45.0,0.14150943396226423,0.0,0.0,0.0,0.0,1.1415094339622642
