Last Update,Latitude,Longitude,Confirmed,Deaths,Recovered,Mortality Rate,Dif Confirmed,Dif Confirmed%,Dif Deaths,Dif Deaths%,Dif Recovered,Dif Recovered%,Factor Confirmed
2020-02-01,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,
2020-02-02,0.0,0.0,2.0,1.0,0.0,0.5,1.0,1.0,1.0,inf,0.0,,2.0
2020-02-07,0.0,0.0,3.0,1.0,0.0,0.3333333333333333,1.0,0.5,0.0,0.0,0.0,,1.5
2020-02-12,13.0,122.0,6.0,2.0,2.0,0.3333333333333333,3.0,1.0,1.0,1.0,2.0,inf,2.0
2020-03-06,13.0,122.0,5.0,1.0,1.0,0.2,-1.0,-0.16666666666666663,-1.0,-0.5,-1.0,-0.5,0.8333333333333334
2020-03-07,13.0,122.0,6.0,1.0,1.0,0.16666666666666666,1.0,0.19999999999999996,0.0,0.0,0.0,0.0,1.2
2020-03-08,13.0,122.0,10.0,1.0,1.0,0.1,4.0,0.6666666666666667,0.0,0.0,0.0,0.0,1.6666666666666667
2020-03-09,13.0,122.0,20.0,1.0,1.0,0.05,10.0,1.0,0.0,0.0,0.0,0.0,2.0
2020-03-10,12.8797,121.774,33.0,1.0,2.0,0.030303030303030304,13.0,0.6499999999999999,0.0,0.0,1.0,1.0,1.65
2020-03-11,25.7594,243.548,113.0,6.0,4.0,0.05309734513274336,80.0,2.4242424242424243,5.0,5.0,2.0,1.0,3.4242424242424243
2020-03-12,12.8797,121.774,52.0,2.0,2.0,0.038461538461538464,-61.0,-0.5398230088495575,-4.0,-0.6666666666666667,-2.0,-0.5,0.46017699115044247
2020-03-14,12.8797,121.774,111.0,8.0,2.0,0.07207207207207207,59.0,1.1346153846153846,6.0,3.0,0.0,0.0,2.1346153846153846
2020-03-15,12.8797,121.774,140.0,11.0,2.0,0.07857142857142857,29.0,0.26126126126126126,3.0,0.375,0.0,0.0,1.2612612612612613
2020-03-16,12.8797,121.774,142.0,12.0,2.0,0.08450704225352113,2.0,0.014285714285714235,1.0,0.09090909090909083,0.0,0.0,1.0142857142857142
2020-03-17,12.8797,121.774,187.0,12.0,5.0,0.06417112299465241,45.0,0.31690140845070425,0.0,0.0,3.0,1.5,1.3169014084507042
2020-03-18,12.8797,121.774,202.0,19.0,5.0,0.09405940594059406,15.0,0.0802139037433156,7.0,0.5833333333333333,0.0,0.0,1.0802139037433156
2020-03-19,12.8797,121.774,217.0,17.0,8.0,0.07834101382488479,15.0,0.07425742574257432,-2.0,-0.10526315789473684,3.0,0.6000000000000001,1.0742574257425743
2020-03-20,12.8797,121.774,230.0,18.0,8.0,0.0782608695652174,13.0,0.05990783410138256,1.0,0.05882352941176472,0.0,0.0,1.0599078341013826
2020-03-21,12.8797,121.774,307.0,19.0,13.0,0.06188925081433225,77.0,0.33478260869565224,1.0,0.05555555555555558,5.0,0.625,1.3347826086956522
2020-03-22,12.8797,121.774,380.0,25.0,17.0,0.06578947368421052,73.0,0.23778501628664506,6.0,0.3157894736842106,4.0,0.3076923076923077,1.237785016286645
