Last Update,Latitude,Longitude,Confirmed,Deaths,Recovered,Mortality Rate,Dif Confirmed,Dif Confirmed%,Dif Deaths,Dif Deaths%,Dif Recovered,Dif Recovered%,Factor Confirmed
2020-03-11,-42.2302,111.0728,6.0,0.0,0.0,0.0,,,,,,,
2020-03-14,-21.1151,55.5364,6.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0
2020-03-15,-21.1151,55.5364,7.0,0.0,0.0,0.0,1.0,0.16666666666666674,0.0,,0.0,,1.1666666666666667
2020-03-16,-21.1151,55.5364,9.0,0.0,0.0,0.0,2.0,0.2857142857142858,0.0,,0.0,,1.2857142857142858
2020-03-17,-21.1151,55.5364,9.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0
2020-03-18,-21.1151,55.5364,12.0,0.0,0.0,0.0,3.0,0.33333333333333326,0.0,,0.0,,1.3333333333333333
2020-03-19,-21.1151,55.5364,14.0,0.0,0.0,0.0,2.0,0.16666666666666674,0.0,,0.0,,1.1666666666666667
2020-03-20,-21.1151,55.5364,28.0,0.0,0.0,0.0,14.0,1.0,0.0,,0.0,,2.0
2020-03-21,-21.1151,55.5364,45.0,0.0,0.0,0.0,17.0,0.6071428571428572,0.0,,0.0,,1.6071428571428572
2020-03-22,-21.1151,55.5364,47.0,0.0,0.0,0.0,2.0,0.04444444444444451,0.0,,0.0,,1.0444444444444445
