Last Update,Latitude,Longitude,Confirmed,Deaths,Recovered,Mortality Rate,Dif Confirmed,Dif Confirmed%,Dif Deaths,Dif Deaths%,Dif Recovered,Dif Recovered%,Factor Confirmed
2020-02-26,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,
2020-02-27,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0
2020-02-28,45.9432,24.9668,6.0,0.0,0.0,0.0,5.0,5.0,0.0,,0.0,,6.0
2020-03-03,46.0,25.0,3.0,0.0,0.0,0.0,-3.0,-0.5,0.0,,0.0,,0.5
2020-03-04,46.0,25.0,4.0,0.0,1.0,0.0,1.0,0.33333333333333326,0.0,,1.0,inf,1.3333333333333333
2020-03-05,46.0,25.0,6.0,0.0,1.0,0.0,2.0,0.5,0.0,,0.0,0.0,1.5
2020-03-06,46.0,25.0,9.0,0.0,1.0,0.0,3.0,0.5,0.0,,0.0,0.0,1.5
2020-03-07,46.0,25.0,9.0,0.0,3.0,0.0,0.0,0.0,0.0,,2.0,2.0,1.0
2020-03-08,46.0,25.0,15.0,0.0,3.0,0.0,6.0,0.6666666666666667,0.0,,0.0,0.0,1.6666666666666667
2020-03-10,46.0,25.0,25.0,0.0,3.0,0.0,10.0,0.6666666666666667,0.0,,0.0,0.0,1.6666666666666667
2020-03-11,91.94319999999999,49.9668,134.0,0.0,13.0,0.0,109.0,4.36,0.0,,10.0,3.333333333333333,5.36
2020-03-12,46.0,25.0,49.0,0.0,6.0,0.0,-85.0,-0.6343283582089552,0.0,,-7.0,-0.5384615384615384,0.3656716417910448
2020-03-14,45.9432,24.9668,123.0,0.0,9.0,0.0,74.0,1.510204081632653,0.0,,3.0,0.5,2.510204081632653
2020-03-15,45.9432,24.9668,131.0,0.0,9.0,0.0,8.0,0.06504065040650397,0.0,,0.0,0.0,1.065040650406504
2020-03-16,45.9432,24.9668,158.0,0.0,9.0,0.0,27.0,0.20610687022900764,0.0,,0.0,0.0,1.2061068702290076
2020-03-17,45.9432,24.9668,184.0,0.0,16.0,0.0,26.0,0.16455696202531644,0.0,,7.0,0.7777777777777777,1.1645569620253164
2020-03-18,45.9432,24.9668,260.0,0.0,19.0,0.0,76.0,0.4130434782608696,0.0,,3.0,0.1875,1.4130434782608696
2020-03-19,45.9432,24.9668,277.0,0.0,25.0,0.0,17.0,0.06538461538461537,0.0,,6.0,0.3157894736842106,1.0653846153846154
2020-03-20,45.9432,24.9668,308.0,0.0,25.0,0.0,31.0,0.11191335740072206,0.0,,0.0,0.0,1.111913357400722
2020-03-21,45.9432,24.9668,367.0,0.0,52.0,0.0,59.0,0.19155844155844148,0.0,,27.0,1.08,1.1915584415584415
2020-03-22,45.9432,24.9668,433.0,3.0,64.0,0.006928406466512702,66.0,0.17983651226158037,3.0,inf,12.0,0.23076923076923084,1.1798365122615804
