Last Update,Latitude,Longitude,Confirmed,Deaths,Recovered,Mortality Rate,Dif Confirmed,Dif Confirmed%,Dif Deaths,Dif Deaths%,Dif Recovered,Dif Recovered%,Factor Confirmed
2020-03-02,14.4974,-14.4524,1.0,0.0,0.0,0.0,,,,,,,
2020-03-03,14.4974,-14.4524,2.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,,2.0
2020-03-04,14.4974,-14.4524,4.0,0.0,0.0,0.0,2.0,1.0,0.0,,0.0,,2.0
2020-03-08,14.4974,-14.4524,4.0,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,inf,1.0
2020-03-11,14.4974,-14.4524,10.0,0.0,1.0,0.0,6.0,1.5,0.0,,0.0,0.0,2.5
2020-03-13,28.9948,-28.9048,34.0,0.0,2.0,0.0,24.0,2.4,0.0,,1.0,1.0,3.4
2020-03-16,14.4974,-14.4524,24.0,0.0,2.0,0.0,-10.0,-0.2941176470588235,0.0,,0.0,0.0,0.7058823529411765
2020-03-17,14.4974,-14.4524,26.0,0.0,2.0,0.0,2.0,0.08333333333333326,0.0,,0.0,0.0,1.0833333333333333
2020-03-18,14.4974,-14.4524,31.0,0.0,2.0,0.0,5.0,0.1923076923076923,0.0,,0.0,0.0,1.1923076923076923
2020-03-20,14.4974,-14.4524,38.0,0.0,2.0,0.0,7.0,0.22580645161290325,0.0,,0.0,0.0,1.2258064516129032
2020-03-21,14.4974,-14.4524,47.0,0.0,5.0,0.0,9.0,0.23684210526315796,0.0,,3.0,1.5,1.236842105263158
2020-03-22,14.4974,-14.4524,67.0,0.0,5.0,0.0,20.0,0.42553191489361697,0.0,,0.0,0.0,1.425531914893617
