Last Update,Latitude,Longitude,Confirmed,Deaths,Recovered,Mortality Rate,Dif Confirmed,Dif Confirmed%,Dif Deaths,Dif Deaths%,Dif Recovered,Dif Recovered%,Factor Confirmed
2020-03-05,-30.5595,22.9375,1.0,0.0,0.0,0.0,,,,,,,
2020-03-06,-30.5595,22.9375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0
2020-03-08,-30.5595,22.9375,3.0,0.0,0.0,0.0,2.0,2.0,0.0,,0.0,,3.0
2020-03-10,-30.5595,22.9375,7.0,0.0,0.0,0.0,4.0,1.3333333333333335,0.0,,0.0,,2.3333333333333335
2020-03-11,-61.119,45.875,37.0,0.0,0.0,0.0,30.0,4.285714285714286,0.0,,0.0,,5.285714285714286
2020-03-12,-30.5595,22.9375,17.0,0.0,0.0,0.0,-20.0,-0.5405405405405406,0.0,,0.0,,0.4594594594594595
2020-03-14,-30.5595,22.9375,38.0,0.0,0.0,0.0,21.0,1.2352941176470589,0.0,,0.0,,2.235294117647059
2020-03-15,-30.5595,22.9375,51.0,0.0,0.0,0.0,13.0,0.3421052631578947,0.0,,0.0,,1.3421052631578947
2020-03-16,-30.5595,22.9375,62.0,0.0,0.0,0.0,11.0,0.21568627450980382,0.0,,0.0,,1.2156862745098038
2020-03-18,-30.5595,22.9375,116.0,0.0,0.0,0.0,54.0,0.8709677419354838,0.0,,0.0,,1.8709677419354838
2020-03-19,-30.5595,22.9375,150.0,0.0,0.0,0.0,34.0,0.2931034482758621,0.0,,0.0,,1.293103448275862
2020-03-20,-30.5595,22.9375,202.0,0.0,0.0,0.0,52.0,0.3466666666666667,0.0,,0.0,,1.3466666666666667
2020-03-21,-30.5595,22.9375,240.0,0.0,0.0,0.0,38.0,0.18811881188118806,0.0,,0.0,,1.188118811881188
2020-03-22,-30.5595,22.9375,274.0,0.0,0.0,0.0,34.0,0.1416666666666666,0.0,,0.0,,1.1416666666666666
