Last Update,Latitude,Longitude,Confirmed,Deaths,Recovered,Mortality Rate,Dif Confirmed,Dif Confirmed%,Dif Deaths,Dif Deaths%,Dif Recovered,Dif Recovered%,Factor Confirmed
2020-01-31,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,
2020-02-08,7.0,81.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,,2.0,inf,2.0
2020-03-10,7.8731,80.7718,1.0,0.0,1.0,0.0,-1.0,-0.5,0.0,,-1.0,-0.5,0.5
2020-03-11,15.7462,161.5436,8.0,0.0,2.0,0.0,7.0,7.0,0.0,,1.0,1.0,8.0
2020-03-14,7.8731,80.7718,10.0,0.0,1.0,0.0,2.0,0.25,0.0,,-1.0,-0.5,1.25
2020-03-15,7.8731,80.7718,18.0,0.0,1.0,0.0,8.0,0.8,0.0,,0.0,0.0,1.8
2020-03-16,7.8731,80.7718,28.0,0.0,1.0,0.0,10.0,0.5555555555555556,0.0,,0.0,0.0,1.5555555555555556
2020-03-17,7.8731,80.7718,44.0,0.0,1.0,0.0,16.0,0.5714285714285714,0.0,,0.0,0.0,1.5714285714285714
2020-03-18,7.8731,80.7718,51.0,0.0,1.0,0.0,7.0,0.15909090909090917,0.0,,0.0,0.0,1.1590909090909092
2020-03-19,7.8731,80.7718,60.0,0.0,3.0,0.0,9.0,0.17647058823529416,0.0,,2.0,2.0,1.1764705882352942
2020-03-20,7.8731,80.7718,73.0,0.0,3.0,0.0,13.0,0.21666666666666656,0.0,,0.0,0.0,1.2166666666666666
2020-03-21,7.8731,80.7718,77.0,0.0,1.0,0.0,4.0,0.0547945205479452,0.0,,-2.0,-0.6666666666666667,1.0547945205479452
2020-03-22,7.8731,80.7718,82.0,0.0,3.0,0.0,5.0,0.06493506493506485,0.0,,2.0,2.0,1.0649350649350648
