Last Update,Latitude,Longitude,Confirmed,Deaths,Recovered,Mortality Rate,Dif Confirmed,Dif Confirmed%,Dif Deaths,Dif Deaths%,Dif Recovered,Dif Recovered%,Factor Confirmed
2020-02-01,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,
2020-02-26,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,,2.0
2020-02-27,0.0,0.0,7.0,0.0,0.0,0.0,5.0,2.5,0.0,,0.0,,3.5
2020-02-29,0.0,0.0,12.0,0.0,0.0,0.0,5.0,0.7142857142857142,0.0,,0.0,,1.7142857142857142
2020-03-01,63.0,16.0,14.0,0.0,0.0,0.0,2.0,0.16666666666666674,0.0,,0.0,,1.1666666666666667
2020-03-02,63.0,16.0,15.0,0.0,0.0,0.0,1.0,0.0714285714285714,0.0,,0.0,,1.0714285714285714
2020-03-03,63.0,16.0,21.0,0.0,0.0,0.0,6.0,0.3999999999999999,0.0,,0.0,,1.4
2020-03-04,63.0,16.0,35.0,0.0,0.0,0.0,14.0,0.6666666666666667,0.0,,0.0,,1.6666666666666667
2020-03-05,63.0,16.0,94.0,0.0,0.0,0.0,59.0,1.6857142857142855,0.0,,0.0,,2.6857142857142855
2020-03-06,63.0,16.0,101.0,0.0,0.0,0.0,7.0,0.07446808510638303,0.0,,0.0,,1.074468085106383
2020-03-07,63.0,16.0,161.0,0.0,0.0,0.0,60.0,0.5940594059405941,0.0,,0.0,,1.5940594059405941
2020-03-08,63.0,16.0,203.0,0.0,0.0,0.0,42.0,0.26086956521739135,0.0,,0.0,,1.2608695652173914
2020-03-09,63.0,16.0,248.0,0.0,1.0,0.0,45.0,0.2216748768472907,0.0,,1.0,inf,1.2216748768472907
2020-03-10,63.0,16.0,355.0,0.0,1.0,0.0,107.0,0.43145161290322576,0.0,,0.0,0.0,1.4314516129032258
2020-03-11,123.12819999999999,34.6435,1314.0,2.0,2.0,0.0015220700152207,959.0,2.7014084507042253,2.0,inf,1.0,1.0,3.7014084507042253
2020-03-12,63.0,16.0,599.0,1.0,1.0,0.001669449081803005,-715.0,-0.5441400304414004,-1.0,-0.5,-1.0,-0.5,0.4558599695585997
2020-03-14,60.1282,18.6435,961.0,2.0,1.0,0.002081165452653486,362.0,0.6043405676126878,1.0,1.0,0.0,0.0,1.6043405676126878
2020-03-15,60.1282,18.6435,1022.0,3.0,1.0,0.0029354207436399216,61.0,0.06347554630593133,1.0,0.5,0.0,0.0,1.0634755463059313
2020-03-16,60.1282,18.6435,1103.0,6.0,1.0,0.005439709882139619,81.0,0.07925636007827785,3.0,1.0,0.0,0.0,1.0792563600782779
2020-03-17,60.1282,18.6435,1190.0,7.0,1.0,0.0058823529411764705,87.0,0.07887579329102445,1.0,0.16666666666666674,0.0,0.0,1.0788757932910245
2020-03-18,60.1282,18.6435,1279.0,10.0,1.0,0.007818608287724784,89.0,0.07478991596638651,3.0,0.4285714285714286,0.0,0.0,1.0747899159663865
2020-03-19,60.1282,18.6435,1439.0,11.0,16.0,0.007644197359277276,160.0,0.12509773260359647,1.0,0.10000000000000009,15.0,15.0,1.1250977326035965
2020-03-20,60.1282,18.6435,1639.0,16.0,16.0,0.009762050030506406,200.0,0.13898540653231417,5.0,0.4545454545454546,0.0,0.0,1.1389854065323142
2020-03-21,60.1282,18.6435,1763.0,20.0,16.0,0.011344299489506523,124.0,0.07565588773642462,4.0,0.25,0.0,0.0,1.0756558877364246
2020-03-22,60.1282,18.6435,1934.0,21.0,16.0,0.010858324715615306,171.0,0.09699376063528087,1.0,0.050000000000000044,0.0,0.0,1.0969937606352809
