Last Update,Latitude,Longitude,Confirmed,Deaths,Recovered,Mortality Rate,Dif Confirmed,Dif Confirmed%,Dif Deaths,Dif Deaths%,Dif Recovered,Dif Recovered%,Factor Confirmed
2020-02-25,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,
2020-02-27,0.0,0.0,8.0,0.0,0.0,0.0,7.0,7.0,0.0,,0.0,,8.0
2020-02-29,0.0,0.0,18.0,0.0,0.0,0.0,10.0,1.25,0.0,,0.0,,2.25
2020-03-01,46.8182,8.2275,27.0,0.0,0.0,0.0,9.0,0.5,0.0,,0.0,,1.5
2020-03-02,46.8182,8.2275,42.0,0.0,0.0,0.0,15.0,0.5555555555555556,0.0,,0.0,,1.5555555555555556
2020-03-03,46.8182,8.2275,56.0,0.0,2.0,0.0,14.0,0.33333333333333326,0.0,,2.0,inf,1.3333333333333333
2020-03-04,46.8182,8.2275,90.0,0.0,3.0,0.0,34.0,0.6071428571428572,0.0,,1.0,0.5,1.6071428571428572
2020-03-05,46.8182,8.2275,114.0,1.0,3.0,0.008771929824561403,24.0,0.2666666666666666,1.0,inf,0.0,0.0,1.2666666666666666
2020-03-06,46.8182,8.2275,214.0,1.0,3.0,0.004672897196261682,100.0,0.8771929824561404,0.0,0.0,0.0,0.0,1.8771929824561404
2020-03-07,46.8182,8.2275,268.0,1.0,3.0,0.0037313432835820895,54.0,0.25233644859813076,0.0,0.0,0.0,0.0,1.2523364485981308
2020-03-08,46.8182,8.2275,337.0,2.0,3.0,0.005934718100890208,69.0,0.2574626865671641,1.0,1.0,0.0,0.0,1.257462686567164
2020-03-09,46.8182,8.2275,374.0,2.0,3.0,0.0053475935828877,37.0,0.10979228486646875,0.0,0.0,0.0,0.0,1.1097922848664687
2020-03-10,46.8182,8.2275,491.0,3.0,3.0,0.006109979633401222,117.0,0.3128342245989304,1.0,0.5,0.0,0.0,1.3128342245989304
2020-03-11,93.6364,16.455,1791.0,15.0,8.0,0.008375209380234505,1300.0,2.6476578411405294,12.0,4.0,5.0,1.6666666666666665,3.6476578411405294
2020-03-14,46.8182,8.2275,1359.0,13.0,4.0,0.009565857247976454,-432.0,-0.24120603015075381,-2.0,-0.1333333333333333,-4.0,-0.5,0.7587939698492462
2020-03-15,46.8182,8.2275,2200.0,14.0,4.0,0.006363636363636364,841.0,0.6188373804267844,1.0,0.07692307692307687,0.0,0.0,1.6188373804267844
2020-03-17,46.8182,8.2275,2700.0,27.0,4.0,0.01,500.0,0.2272727272727273,13.0,0.9285714285714286,0.0,0.0,1.2272727272727273
2020-03-18,46.8182,8.2275,3028.0,28.0,15.0,0.009247027741083224,328.0,0.12148148148148152,1.0,0.03703703703703698,11.0,2.75,1.1214814814814815
2020-03-19,46.8182,8.2275,4075.0,41.0,15.0,0.010061349693251533,1047.0,0.34577278731836203,13.0,0.4642857142857142,0.0,0.0,1.345772787318362
2020-03-20,46.8182,8.2275,5294.0,54.0,15.0,0.010200226671703816,1219.0,0.2991411042944785,13.0,0.3170731707317074,0.0,0.0,1.2991411042944785
2020-03-21,46.8182,8.2275,6575.0,75.0,15.0,0.011406844106463879,1281.0,0.24197204382319604,21.0,0.38888888888888884,0.0,0.0,1.241972043823196
2020-03-22,46.8182,8.2275,7245.0,98.0,131.0,0.01352657004830918,670.0,0.10190114068441058,23.0,0.30666666666666664,116.0,7.7333333333333325,1.1019011406844106
