Last Update,Latitude,Longitude,Confirmed,Deaths,Recovered,Mortality Rate,Dif Confirmed,Dif Confirmed%,Dif Deaths,Dif Deaths%,Dif Recovered,Dif Recovered%,Factor Confirmed
2020-03-11,77.9274,70.4866,6.0,0.0,0.0,0.0,,,,,,,
2020-03-13,38.9637,35.2433,5.0,0.0,0.0,0.0,-1.0,-0.16666666666666663,0.0,,0.0,,0.8333333333333334
2020-03-15,38.9637,35.2433,6.0,0.0,0.0,0.0,1.0,0.19999999999999996,0.0,,0.0,,1.2
2020-03-16,38.9637,35.2433,18.0,0.0,0.0,0.0,12.0,2.0,0.0,,0.0,,3.0
2020-03-17,38.9637,35.2433,47.0,1.0,0.0,0.02127659574468085,29.0,1.6111111111111112,1.0,inf,0.0,,2.611111111111111
2020-03-18,38.9637,35.2433,98.0,1.0,0.0,0.01020408163265306,51.0,1.0851063829787235,0.0,0.0,0.0,,2.0851063829787235
2020-03-19,38.9637,35.2433,192.0,3.0,0.0,0.015625,94.0,0.9591836734693877,2.0,2.0,0.0,,1.9591836734693877
2020-03-20,38.9637,35.2433,359.0,4.0,0.0,0.011142061281337047,167.0,0.8697916666666667,1.0,0.33333333333333326,0.0,,1.8697916666666667
2020-03-21,38.9637,35.2433,670.0,9.0,0.0,0.013432835820895522,311.0,0.8662952646239555,5.0,1.25,0.0,,1.8662952646239555
2020-03-22,38.9637,35.2433,1236.0,30.0,0.0,0.024271844660194174,566.0,0.844776119402985,21.0,2.3333333333333335,0.0,,1.844776119402985
