Last Update,Latitude,Longitude,Confirmed,Deaths,Recovered,Mortality Rate,Dif Confirmed,Dif Confirmed%,Dif Deaths,Dif Deaths%,Dif Recovered,Dif Recovered%,Factor Confirmed
2020-02-01,67.8401,-236.0968,10.0,0.0,0.0,0.0,,,,,,,
2020-02-03,36.5761,-120.9876,6.0,0.0,0.0,0.0,-4.0,-0.4,0.0,,0.0,,0.6
2020-02-05,43.0731,-89.4012,2.0,0.0,0.0,0.0,-4.0,-0.6666666666666667,0.0,,0.0,,0.3333333333333333
2020-02-09,0.0,0.0,3.0,0.0,3.0,0.0,1.0,0.5,0.0,,3.0,inf,1.5
2020-02-11,0.0,0.0,1.0,0.0,0.0,0.0,-2.0,-0.6666666666666667,0.0,,-3.0,-1.0,0.3333333333333333
2020-02-13,29.4241,-98.4936,4.0,0.0,0.0,0.0,3.0,3.0,0.0,,0.0,,4.0
2020-02-21,73.4607,-241.0306,27.0,0.0,3.0,0.0,23.0,5.75,0.0,,3.0,inf,6.75
2020-02-22,0.0,0.0,18.0,0.0,0.0,0.0,-9.0,-0.33333333333333337,0.0,,-3.0,-1.0,0.6666666666666666
2020-02-24,108.90950000000001,-316.52909999999997,36.0,0.0,0.0,0.0,18.0,1.0,0.0,,0.0,,2.0
2020-02-25,33.4255,-111.94,38.0,0.0,2.0,0.0,2.0,0.05555555555555558,0.0,,2.0,inf,1.0555555555555556
2020-02-26,0.0,0.0,42.0,0.0,0.0,0.0,4.0,0.10526315789473695,0.0,,-2.0,-1.0,1.105263157894737
2020-02-27,38.4747,-121.3542,4.0,0.0,0.0,0.0,-38.0,-0.9047619047619048,0.0,,0.0,,0.09523809523809523
2020-02-28,77.8038,68.57910000000001,90.0,0.0,2.0,0.0,86.0,21.5,0.0,,2.0,inf,22.5
2020-02-29,82.8592,-244.6302,15.0,1.0,3.0,0.06666666666666667,-75.0,-0.8333333333333334,1.0,inf,1.0,0.5,0.16666666666666666
2020-03-01,179.3413,-403.2086,15.0,1.0,3.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-02,598.4016,-1303.4634,88.0,6.0,4.0,0.06818181818181818,73.0,4.866666666666666,5.0,5.0,1.0,0.33333333333333326,5.866666666666666
2020-03-03,555.0859999999999,-1397.3701,54.0,7.0,3.0,0.12962962962962962,-34.0,-0.38636363636363635,1.0,0.16666666666666674,-1.0,-0.25,0.6136363636363636
2020-03-04,281.48810000000003,-796.4149,62.0,11.0,1.0,0.1774193548387097,8.0,0.14814814814814814,4.0,0.5714285714285714,-2.0,-0.6666666666666667,1.1481481481481481
2020-03-05,652.0139999999999,-1706.4037000000003,142.0,11.0,5.0,0.07746478873239436,80.0,1.2903225806451615,0.0,0.0,4.0,4.0,2.2903225806451615
